2026-01-04T16:34:06.949Z,32.99,73.65,73.94,98.72,89.5
2026-01-04T16:34:11.728Z,31.27,97.94,83.35,92.99,93.47
2026-01-04T16:34:16.733Z,32.65,91.87,76.8,91.15,94.93
2026-01-04T16:34:21.731Z,31.64,87.87,73.15,62.63,77.09
2026-01-04T16:34:26.796Z,33.26,72.59,72.52,65.73,76.34
2026-01-04T16:34:31.734Z,32.67,94.41,95,64.65,91.53
2026-01-04T16:34:36.732Z,32.7,83.18,61.02,89.08,74.6
2026-01-04T16:34:41.735Z,34.85,95.19,63.47,77.83,80.65
2026-01-04T16:34:46.735Z,30.63,66.47,68.38,68.18,96.31
2026-01-04T16:34:51.736Z,34.65,63.17,85.2,84.78,97.96
2026-01-04T16:34:56.738Z,32.37,84.42,89.92,91.76,86.33
2026-01-04T16:35:01.740Z,31.66,99.44,96.61,96.59,94.22
2026-01-04T16:35:06.740Z,30.85,78.85,94.72,87.75,78.08
2026-01-04T16:35:11.740Z,30.16,86.23,81.01,88.83,64.14
2026-01-04T16:35:16.746Z,33.5,66.73,61.03,82.5,87.43
2026-01-04T16:35:21.743Z,32.39,64.3,84.27,62.34,74.94
2026-01-04T16:35:26.744Z,34.84,64.68,83.57,83.31,82.42
2026-01-04T16:35:31.974Z,30.81,88.95,86.11,90.59,72.32
2026-01-04T23:48:35.733Z,34.74,68.5,60.77,79.24,81.39
2026-01-04T23:48:40.734Z,31.83,79.86,62.62,86.13,92.27
2026-01-04T23:48:45.739Z,30.38,97.22,78.11,98.4,65.75
2026-01-04T23:48:50.736Z,34.95,68.8,90.64,75.49,65.45
2026-01-04T23:48:55.738Z,32.29,82.3,91.85,91.6,84.71
2026-01-04T23:49:00.754Z,31.62,77.28,64.46,75.4,79.75
2026-01-04T23:49:05.740Z,33.31,80.22,60.89,92.12,65.93
2026-01-04T23:49:10.743Z,31.48,78.77,77.98,72.64,86.61
2026-01-04T23:49:15.745Z,33.88,80.03,93.58,86.99,79.99
2026-01-04T23:49:20.745Z,31.61,84.58,68.6,62.6,72.75
2026-01-04T23:49:25.747Z,32.49,66.28,96.01,93.41,79.66
